Protein_ID	Accession	Source	Comments
1	-----	-----	[{'comment': '#1# SULT1A2 <1,2,6,7>'}, {'comment': '#1# SULT1A2 <1,2,6,7>'}]
12	-----	-----	[{'comment': '#12# multienzyme complex <4>'}, {'comment': '#12# multienzyme complex <4>'}]
18	Q7Z4W1	uniprot	-----
19	Q70FD1	uniprot	-----
20	Q91X52	uniprot	-----
21	Q920P0	uniprot	-----
22	Q920N9	uniprot	-----
23	Q91XV4	uniprot	-----
24	Q8NK50	uniprot	-----
25	Q21929	uniprot	-----
26	A0A0M4UR95	uniprot	-----
27	A0A0E3ZP28	uniprot	-----
28	Q7SD67	uniprot	-----
