Organism_ID	Organism_name
1	Haloarcula marismortui
2	Paracoccus denitrificans
3	Bacillus subtilis
4	Escherichia coli
5	Saccharomyces cerevisiae
6	Mycolicibacterium smegmatis
7	Pyrococcus furiosus
8	Klebsiella aerogenes
9	Lactococcus lactis
10	Pseudomonas sp.
11	Serratia marcescens
12	Enterococcus faecium
13	Klebsiella pneumoniae
14	Corynebacterium glutamicum
15	Weizmannia coagulans
16	Bacillus sp. (in: Bacteria)
17	Bacillus licheniformis
18	Paenibacillus polymyxa
19	Aeromonas hydrophila
20	Micrococcus sp.
21	Enterococcus durans
22	Gluconobacter oxydans
23	Enterobacter sp.
24	Saccharomyces uvarum
25	Klebsiella oxytoca
26	Brevibacillus sp.
27	no activity in Serratia marcescens
28	Mycolicibacterium vanbaalenii
29	Mycolicibacterium gilvum
30	Saccharomyces cerevisiae
31	Paenibacillus polymyxa
32	Mycobacterium sp.
33	Corynebacterium crenatum
34	Rhodococcus erythropolis
35	Bacillus sp. (in: Bacteria)
36	Clostridium autoethanogenum
37	Alkalihalobacillus clausii
38	Bacillus subtilis subsp. subtilis
39	Paenibacillus brasilensis
40	Bacillus subtilis
41	Saccharomyces cerevisiae
42	Saccharomyces cerevisiae
43	Bacillus amyloliquefaciens
44	Pseudomonas aeruginosa
45	Bacillus thuringiensis serovar kurstaki
