Organism_ID	Organism_name
1	Gallus gallus
2	Cricetulus griseus
3	Drosophila melanogaster
4	Chlamydomonas reinhardtii
5	Bacillus subtilis
6	Mus musculus
7	Escherichia coli
8	Homo sapiens
9	Rattus norvegicus
10	Sus scrofa
11	Saccharomyces cerevisiae
12	Bos taurus
13	Oryctolagus cuniculus
14	Aspergillus nidulans
15	Spinacia oleracea
16	Zea mays
17	Arabidopsis thaliana
18	Trypanosoma brucei
19	Apis mellifera
20	Leishmania mexicana
21	Ceratitis capitata
22	Leishmania major
23	Coturnix japonica
24	Debaryomyces hansenii
25	Dunaliella salina
26	Locusta migratoria
27	Drosophila virilis
28	Bombus sp.
29	Vespula germanica
30	Starmerella magnoliae
31	Urocitellus richardsonii
32	Mortierella alpina
33	Jaculus orientalis
34	Eidolon helvum
35	Debaryomyces hansenii
36	Clonorchis sinensis
37	Saccharomyces kudriavzevii
38	Saccharomyces cerevisiae
39	Osmerus mordax
40	Arabidopsis thaliana
41	Debaryomyces nepalensis
42	Pichia kudriavzevii
43	Dunaliella viridis
44	Dunaliella viridis
45	Triatoma infestans
46	Triatoma infestans
47	Sus scrofa
48	Millerozyma farinosa
49	Homo sapiens
50	Cynomys ludovicianus
51	Wickerhamiella versatilis
52	Wickerhamiella versatilis
53	Arabidopsis thaliana
54	Oryctolagus cuniculus
55	Chlamydomonas reinhardtii
56	Chlamydomonas reinhardtii
57	Saccharomyces kudriavzevii
58	Dunaliella salina
59	Dunaliella salina
60	Drosophila melanogaster
61	Zea mays
62	Zea mays
63	Zea mays
64	Zea mays
65	Mus musculus
66	Zea mays
