Organism_ID	Organism_name
1	Cavia porcellus
2	Saccharomyces cerevisiae
3	Ovis aries
4	Penicillium chrysogenum
5	Klebsiella aerogenes
6	Serratia marcescens
7	Ogataea angusta
8	Meyerozyma guilliermondii
9	Candida tropicalis
10	Kluyveromyces marxianus
11	Pachysolen tannophilus
12	Aspergillus oryzae
13	Morganella morganii
14	Gluconobacter oxydans
15	Candida parapsilosis
16	Fusarium oxysporum
17	Aspergillus carbonarius
18	Scheffersomyces stipitis
19	Providencia stuartii
20	Aeribacillus pallidus
21	Scheffersomyces shehatae
22	Yamadazyma tenuis
23	[Candida] intermedia
24	[Candida] diddensiae
25	[Candida] silvanorum
26	Candida sp. HA 167
27	Aspergillus oryzae
28	Gluconobacter oxydans
29	[Candida] mogii
30	Blastobotrys adeninivorans
31	Rhizobium etli
32	Scheffersomyces stipitis
33	Rhizomucor pusillus
34	Meyerozyma caribbica
35	Meyerozyma caribbica
36	Gluconobacter oxydans
37	Saccharomyces cerevisiae
38	Spathaspora passalidarum
39	Spathaspora passalidarum
40	Pichia kudriavzevii
41	Torulaspora delbrueckii
42	Spathaspora passalidarum
