Organism_ID	Organism_name
1	Salmonella enterica subsp. enterica serovar Typhimurium
2	Thermus thermophilus
3	Escherichia coli
4	Geobacillus stearothermophilus
5	Priestia megaterium
6	Klebsiella aerogenes
7	Serratia marcescens
8	Thermoanaerobacterium thermosaccharolyticum
9	Schizosaccharomyces pombe
10	Ogataea angusta
11	Pichia membranifaciens
12	Klebsiella pneumoniae
13	Arthrobacter sp.
14	Clostridium butyricum
15	Salmonella enterica
16	Aspergillus oryzae
17	Clostridium beijerinckii
18	Gluconobacter oxydans
19	Thermotoga maritima
20	Clostridioides difficile
21	Klebsiella pneumoniae subsp. pneumoniae
22	Serratia sp.
23	Geotrichum candidum
24	Escherichia coli K-12
25	Mucor circinelloides
26	Cellulomonas sp.
27	Klebsiella pneumoniae
28	Salmonella enterica subsp. enterica serovar Typhimurium
29	Schizosaccharomyces pombe
30	Thermotoga maritima
31	Klebsiella pneumoniae subsp. pneumoniae
32	Klebsiella pneumoniae
33	Anaerobium acetethylicum
34	Escherichia coli
35	Clostridium pasteurianum
36	Klebsiella pneumoniae
37	Geobacillus stearothermophilus
38	Weizmannia coagulans
