Organism_ID	Organism_name
1	Lactiplantibacillus plantarum
2	Thermus thermophilus
3	Escherichia coli
4	Saccharomyces cerevisiae
5	Triticum aestivum
6	Hordeum vulgare
7	Spinacia oleracea
8	Pisum sativum
9	Zea mays
10	Arabidopsis thaliana
11	Serratia marcescens
12	Corynebacterium glutamicum
13	Ricinus communis
14	Rhodospirillum rubrum
15	Thermophilic bacterium
16	Arabidopsis thaliana O81852 TREMBL
17	Chenopodium quinoa
18	Streptomyces clavuligerus
19	Glycine max
20	Glycine max
21	Glycine max
22	Bacillus methanolicus
23	Bacillus methanolicus
24	Saccharomyces cerevisiae
25	Candida albicans
26	Pyrococcus horikoshii
27	Corynebacterium glutamicum
28	Staphylococcus aureus
29	Mycobacterium leprae
30	Sulfurisphaera tokodaii
31	Corynebacterium pekinense
32	Paracoccidioides brasiliensis
33	Paracoccidioides lutzii
34	Escherichia coli
35	Bacillus subtilis
36	Thermotoga maritima
37	Thermus thermophilus
