Organism_ID	Organism_name
1	Cavia porcellus
2	Mus musculus
3	Homo sapiens
4	Rattus norvegicus
5	Sus scrofa
6	Saccharomyces cerevisiae
7	Neurospora crassa
8	Aspergillus niger
9	Mesocricetus auratus
10	Meyerozyma guilliermondii
11	Kluyveromyces marxianus
12	Pantoea ananatis
13	Chlorella sorokiniana
14	Erwinia sp.
15	Scheffersomyces stipitis
16	Cricetinae
17	Yamadazyma tenuis
18	Homo sapiens
19	Ambrosiozyma monospora
20	Mus musculus
21	Rattus norvegicus
22	Cavia porcellus
23	Mesocricetus auratus
24	Trichoderma reesei
25	Caenorhabditis elegans
26	Rhizomucor pusillus
27	Escherichia coli
28	Neurospora crassa
